Date,AAVE,ADA,APT,ARB,ATOM,AVAX,AXS,BAT,BCH,BNB,BONK,BTC,CRO,DAI,DCR,DOGE,DOT,ETH,FIL,FLOKI,FLOW,FTM,GALA,GRT,KAS,LINK,LTC,MANA,MATIC,MKR,NEAR,NEO,PEPE,QNT,RNDR,SAND,SC,SHIB,SOL,STX,TON,TRX,UNI,USDC,USDT,VET,XLM,XMR,XRP,XTZ
2023-04-17,81.02398612919177,0.43416660388725914,12.290637737502673,1.6124278526964955,12.341851005280336,20.51456165266686,9.361835786772788,0.27880590415204887,131.61575408543823,339.99410374538974,9.2946355377e-07,29445.044904962764,0.06994693808767294,0.9992831727044852,21.43769514167642,0.09144930272646339,6.695543389084391,2076.2430038239386,6.118175296615649,3.7625144262543e-05,1.0316841283886344,0.5193583554800038,0.04375271153749237,0.17186315895599022,0.02777774508373109,8.164323240725308,98.67469721935161,0.6902250503504084,1.1529535705274565,780.4559313247938,2.2871975986266397,12.934644779568162,6.6375497995e-08,116.11954395505029,1.9747551477728598,0.6982828774872722,0.004273694469167743,1.1375625974912e-05,24.558845612704026,0.8400020495144195,2.301723130865288,0.06578414185429328,6.12818900203586,0.999865069710787,1.000529634715544,0.02545752180429159,0.10407497130062499,159.56224433608776,0.5111268983436722,1.1417950477338537
2023-04-18,81.88467415740067,0.44375150227150234,12.705670227094416,1.6736968512874224,12.554779710865391,21.22784853793674,9.400010990145121,0.2843657978512559,133.60167821439072,343.19344196751166,9.61532417767e-07,30397.55273552258,0.07257488032361326,1.0002810832750073,21.867909454251276,0.09398860098335485,6.9220266145016724,2104.5372669455255,6.263585943014564,3.7239505986965e-05,1.05937628239061,0.533702607202399,0.0470720872598225,0.16988529562117807,0.02554450414747353,8.57639905932773,101.8514194620038,0.6856693271475097,1.1718969643349335,789.7437718443856,2.3463949464058045,13.053346555674956,1.86068364593e-07,118.2627172292586,2.0278200871179077,0.7017960915421209,0.004328226364370975,1.158023273862e-05,24.85268911815773,0.8626288431199385,2.3132471407940955,0.06676248654575732,6.331722976156883,1.000030657174357,1.000408485947987,0.026534940284688845,0.1055838953724096,162.78260655136893,0.5322641776638904,1.1629361874156636
2023-04-19,74.03285395479725,0.415792646727825,11.346352353740349,1.4903762169095547,11.70909664996974,18.993925638171742,8.456922231589944,0.25938891669548453,125.09291507648047,322.70751445325635,8.2508143175e-07,28822.680472900887,0.06797501270831484,0.9999319112701901,20.081774371472868,0.08786778963111694,6.319921090312094,1936.4034646781874,5.705030477926912,3.3022381597357e-05,0.9572573602981629,0.47355279421872015,0.04328472440244785,0.15197803834980003,0.022993819393477333,7.770359650691568,90.44068316178684,0.6164258717098123,1.0855531762659463,724.1227410920841,2.1515232891897718,11.821720195371332,2.64186064326e-07,111.26108063848878,1.9266880759939533,0.6374117142389073,0.003950360323776596,1.0843868017363e-05,22.71283546032958,0.7636619820072164,2.264712418317375,0.06584900405073449,5.845641126888404,1.0000505924657874,1.0005590262448154,0.02388763914692548,0.09768957972541191,153.1540259707951,0.4915988003308279,1.0592541268368219
2023-04-20,72.4089655531209,0.40073069495111463,11.05074494976887,1.4407275939370243,11.392241948194542,18.332066585598497,8.209093877206245,0.253416288028659,123.11057344377608,317.88991584990487,7.16196059209e-07,28245.98731049337,0.0679680325120592,0.9989469391846599,19.4187145391543,0.08393673604447695,6.1112303833854265,1943.0976697034544,5.561660380058183,3.1160366534301e-05,0.9421209429522441,0.4658440933925476,0.04233985243401796,0.14647778044978338,0.0256532521169371,7.5187512901298765,90.23965757206312,0.591337516813418,1.0471504064355504,715.7362817913729,2.04706089939174,11.754704957938113,2.95127311641e-07,110.2214833954159,1.8995333530154814,0.6157017191024571,0.003940464881108947,1.0595047085656e-05,22.181439860701587,0.7361101874597319,2.2693292918810126,0.06541307178604953,5.78329739515574,1.0001641448720673,1.000220770518233,0.023130440565238393,0.09576088702211552,153.6604765793544,0.47485793561798695,1.0297902425810972
2023-04-21,69.10818421765185,0.38293928182737175,10.168170072799668,1.4702835546018678,10.80368907811351,16.9536281637738,7.918437511285655,0.2458839586943199,119.75077205348819,321.6749792619948,7.17988780756e-07,27276.909687575568,0.06861582182794604,0.999623041909716,18.525505903501394,0.0784791572985813,5.851494048901817,1849.9998459932472,5.261167787503535,2.8023272880978e-05,0.9037585418788693,0.42402639321787455,0.03948673038477636,0.13637711384859372,0.02441122867493587,7.1176501327567845,85.51734481750398,0.5626585261104846,1.0126755728283994,676.9914159393107,1.926617309276124,11.002894113512308,1.98261815124e-07,107.92426318361598,1.6369834030532462,0.58845392601242,0.0039547511579526,1.0282381676696e-05,21.27813646869707,0.6894003490831353,2.2601275151727664,0.06500133419780665,5.4705812678448105,1.0003367520211823,1.0001423024111726,0.022168950105740777,0.09301286058589371,151.26608328815135,0.44939553665805243,1.0013323768030846
2023-04-22,70.81204700515491,0.3961526856608544,10.333583069418669,1.464298557479879,11.041814250780197,17.23383902658704,8.0784188565497,0.25385283567813305,122.23890177384759,331.9950823427721,7.27118537159e-07,27817.500917437257,0.06833258235540464,0.9997615443433314,20.111065919081536,0.08037484255645096,5.953292353363309,1874.228580610438,5.326201329610627,3.0243232831385e-05,0.9223945387616677,0.43603952526853806,0.04096162714462467,0.1415524365432597,0.024053992312149018,7.179794861604437,87.09852360870241,0.5711540652198144,1.025344288539011,698.8196334602541,1.9470939971377217,11.420380590218318,2.84831800193e-07,113.4357690894045,1.814144398495167,0.6007836883336871,0.00399853233638786,1.0463028073489e-05,21.81628762037535,0.7330121144806376,2.3087279856874128,0.06607480345905267,5.506018817361939,1.0001067963954884,1.0001849813754968,0.02270608770244803,0.0955926344498253,157.49999709832437,0.4726607015206623,1.030257677272627
2023-04-23,70.27293712373026,0.3890003965014926,10.230751090694582,1.339241951044702,10.827010176688155,16.865464551860214,7.934936826662744,0.2542977666056114,119.9291897188116,330.6188435192576,6.67482598292e-07,27591.38463190681,0.06802025198919673,0.9999779789615529,18.944728800840178,0.07881970499534519,5.917685021088398,1862.0620571837162,5.272049747278696,2.866727172237e-05,0.9025889136572804,0.4279735132633256,0.040120865258996864,0.1381886159471386,0.024000949981102512,7.0799306316323865,86.89732616803867,0.559943614403796,1.0036757891184465,688.8113212948423,1.913986246583261,11.281194918529769,3.20672005292e-07,111.96047784654813,1.7048379894715995,0.5866638264466041,0.003941682849149683,1.033478871115e-05,21.480137800683224,0.7104919426281786,2.327145379407598,0.06667689067636488,5.429100766959959,0.9998940338761069,1.0000229905499822,0.022140770484744388,0.0945729570751455,157.3642280407626,0.4650163644813571,1.0161226236159662
2023-04-24,69.86111793579707,0.383915529012548,10.232419432652037,1.3383444428069817,10.885917760439098,16.939166032026083,7.869471890740962,0.24862076664554153,119.3284684134913,331.2458875706987,6.22107139745e-07,27525.33949959111,0.06689147474595351,0.9998666777706495,18.834643765979312,0.07878361047710962,5.891437529246291,1842.757451380728,5.254466497635187,4.4546766827874e-05,0.9123500841560829,0.4187382583500426,0.03933605091237908,0.13582051287847877,0.02568313394633292,7.076444298862895,88.40734384953616,0.554665291392243,0.9899204687717054,682.255711558738,1.886755779032193,10.83470502374922,2.96951231426e-07,110.19704059053474,1.7754090551773287,0.5861326886889302,0.003861651943471997,1.0278141109989e-05,21.391070059297636,0.734258550973356,2.2984707322889437,0.06613986540859056,5.362221392734024,1.0000419769266764,1.0001206954635096,0.02210107722272255,0.09348042949603802,157.60606599682822,0.4612729706308013,1.0039769873044933
2023-04-25,71.21302859978198,0.3949190800712078,10.380537463437653,1.3795541398846942,11.053879529133802,17.643208956973897,8.012796264726045,0.25180278170722703,120.19910686359131,338.3255483834582,6.535481692e-07,28307.59809066535,0.06919681674689372,0.9998045015371896,18.920668254362184,0.0798474180000979,6.001256009517211,1866.7536026164044,5.350389910586154,3.72785460326e-05,0.9107146555792776,0.43312218331936436,0.03974415991200556,0.14149999708890743,0.02656818642834731,7.271540442210379,91.10834799568887,0.5609956095469781,1.0058536234829618,692.4834064718495,1.964223991431711,10.934341941291885,2.61928802346e-07,111.10803718402595,2.022061011474025,0.596607119805351,0.004012330073895012,1.0371053657799e-05,21.927253371564888,0.7468134772485592,2.2874525240543875,0.06586287398598663,5.4548315413197574,1.0000003855014228,1.0001588619228263,0.022652120299854937,0.09491595222762107,159.79107542117615,0.46999498528561945,1.0205107536655535
2023-04-26,69.41936816514404,0.40149830701906425,10.055946976476926,1.3846580308197027,10.924459400206269,17.18976286001893,7.808094889368937,0.24896644314233765,117.64835556979477,330.82178163404666,6.17365223411e-07,28422.70087849232,0.07158473185865948,1.0000912123783476,18.767768368714833,0.07862304125830477,5.852431778394216,1866.5642365910276,5.251022729731202,3.6567375328356e-05,0.8851889042949244,0.41869771826298596,0.03841614855312423,0.13869189429906006,0.031026034564908645,7.004229703866465,88.2541884568709,0.5423417076681357,0.9861336305145609,689.2727113119441,1.8910463757429865,10.754352901434007,2.19448189875e-07,111.46384765028657,2.2941792588404617,0.5745455747964194,0.003963356082957652,1.0166096351257e-05,21.283012584258152,0.733427074993521,2.233780661643536,0.06518294472884012,5.353362912438103,0.9998836022790404,1.000282419383206,0.022036057202546023,0.09355753697566496,156.88517943770228,0.4620374332193794,1.0061153080390193
