Date,ADA,ATOM,AVAX,BAT,BCH,BNB,BTC,CRO,DCR,DOGE,ETH,FTM,LINK,LTC,MANA,MATIC,MKR,NEO,QNT,RNDR,SC,SHIB,SOL,STX,TRX,VET,XLM,XMR,XRP,XTZ
2020-08-01,0.143572771508,4.06353617967,5.23463197522,0.257828531973,317.996472826,21.5304308397,11759.5927707,0.173407541378,17.041593899,0.00368863841675,385.199719325,0.0128710498967,8.3044588505,61.2932257936,0.0464381339165,0.0209902048707,592.022581854,13.3096168063,9.17784995997,0.0806753479734,0.0032802560747,1.005565919e-09,1.52660964025,0.16725946244,0.0203955869229,0.0172550668084,0.10699543047,89.2567621455,0.289528998555,3.02881595459
2020-08-02,0.133504591821,3.89179787645,5.23463197522,0.242356147721,283.781996286,20.944887037,11053.613901,0.163717737523,15.588547923,0.00333606320065,370.671711492,0.012912094959,8.27177593728,56.6414437378,0.0443079735927,0.0200005815893,567.525348728,12.186153107,7.45086161373,0.0786726800383,0.00313202044589,5.09934527e-10,1.74281034979,0.172212820415,0.0190391749702,0.0161451625674,0.102550254216,84.9673998148,0.287062296054,2.87753687362
2020-08-03,0.137334726184,3.85483177258,5.23463197522,0.25122858465,296.535253107,22.0550105923,11246.3487749,0.163104287252,16.6716076555,0.00338885940645,386.295173437,0.013324247898,9.16475852572,58.4689028287,0.0457791247847,0.0204592032492,592.865522334,12.4148158416,8.55391889723,0.0834926680378,0.00314082258194,1.45197503e-10,1.80261098364,0.177970398267,0.0198873466698,0.0167114720951,0.105058658773,89.1130006559,0.309940086401,3.05655181074
2020-08-04,0.143017913412,4.01016047377,5.23463197522,0.261519078261,288.385859028,22.2825863763,11205.8929179,0.156604851877,16.2808505894,0.00353467686213,389.875485136,0.0137311398149,9.82183618764,57.5330539995,0.0454389699935,0.0206458935264,585.516599289,12.5148155129,7.41621221567,0.0820821438891,0.00314682079025,1.61651555e-10,1.87163885812,0.190005179163,0.0203520867862,0.0186667731999,0.109970579077,87.2637652087,0.300492815844,3.22941064961
2020-08-05,0.142694843575,4.15956549408,5.23463197522,0.257778153273,294.486645392,23.3362166168,11747.0228312,0.163670906884,16.5512130108,0.00351273880895,401.59058634,0.0158396487939,9.55877411802,59.0107062603,0.0535173412242,0.0213802489614,594.857369282,12.9195353904,7.62869083595,0.0881135584053,0.0032140830697,3.09386999e-10,1.75454981586,0.185365914067,0.0204506665874,0.018852539314,0.107935481722,90.4777002813,0.303311360721,3.11587152549
2020-08-06,0.144048021476,4.17607227547,5.23463197522,0.259181501868,308.760329654,22.7076614075,11779.7732574,0.16239380909,16.4281701638,0.00355999753704,394.961957147,0.0161002403078,10.1402546056,59.1642651955,0.0577029730841,0.0217702093776,586.128297838,13.0019780858,7.6235371163,0.089236632491,0.00320298269853,2.32890737e-10,2.20634832732,0.204890468271,0.0202751578834,0.0197354233711,0.106431989823,95.6109667574,0.303584018575,3.22488412708
2020-08-07,0.139155241025,4.02047069932,5.23463197522,0.253117491702,303.45859452,22.3115455286,11601.4727146,0.162060396998,16.0715661492,0.00353279089449,379.512855039,0.0166253994267,10.063364794,57.2455320689,0.0744248520252,0.0213980616294,580.72465211,12.8772618415,7.63343430388,0.0871069032299,0.0031783855684,2.29899375e-10,2.08590263527,0.210913432705,0.019938451596,0.0187089362648,0.103120821119,94.1034235972,0.294663749831,3.07210099924
2020-08-08,0.145780693366,4.43172254231,5.23463197522,0.260689930451,304.47889637,22.8781191584,11754.0458135,0.167315298164,16.3389681744,0.00350970368162,393.987376065,0.0174423309782,12.6892072055,58.1292058771,0.102822937312,0.0228474176634,583.650925193,13.0669942042,7.37477136285,0.0861096332886,0.00322193322573,2.61276162e-10,2.47362485486,0.234701602234,0.0204179517746,0.020749307427,0.102960037623,94.8803202823,0.294021590561,3.37972665134
2020-08-09,0.145244269164,5.2839846383,5.23463197522,0.267665037054,300.400844135,22.4755365269,11675.7393433,0.16725636811,16.3504243802,0.00346312034529,391.120454943,0.0181167949088,13.8532052605,57.1390300832,0.0999237114328,0.0227788159501,598.385762424,13.0254183069,7.03570724224,0.0944408943104,0.00324719187711,2.37085222e-10,2.6652275038,0.235089844665,0.0204725502345,0.0218619567617,0.105086459953,93.0565691977,0.288653295856,3.68424546865
2020-08-10,0.143854947027,5.47207814668,5.23463197522,0.286568545418,302.58555334,22.6137962596,11878.1113253,0.168699275756,16.7042524052,0.00349947915517,395.887569508,0.0184093408221,13.4410354619,58.2888458402,0.101101029149,0.0243640384673,625.340689767,14.523603227,7.32261297874,0.10407338928,0.00352243177799,1.88973234e-10,3.13179330211,0.270113848306,0.0215172484302,0.0214675041193,0.105994095278,93.7550467482,0.29465862597,4.27049751194
2020-08-11,0.137435555086,4.93030392341,5.23463197522,0.261731218539,282.946271572,21.2569453545,11410.5256775,0.161286878174,15.8835364475,0.00339437290683,380.384068285,0.0161124877516,13.1059904754,54.3868431639,0.0902196698233,0.0230739697091,597.233261826,13.7357912207,7.32824702556,0.10457768576,0.00327119233408,1.72862719e-10,3.30341929739,0.245961257552,0.0201572656503,0.0199837871146,0.100931697482,87.4586769915,0.284449360825,4.01127992638
2020-08-12,0.137398309225,5.97628109044,5.23463197522,0.271725591044,287.606768593,21.751450476,11584.9345762,0.162722087201,15.9710673917,0.00348443981929,391.024162058,0.0187587950067,16.6215428725,54.9685845564,0.0988072948992,0.0255443525383,728.758291178,14.4902245054,7.82325550606,0.125978740622,0.00334827466949,1.50295999e-10,3.76975091301,0.271051309043,0.0203913371808,0.0205770473307,0.10217949278,90.2945140264,0.284930450925,4.40666972367
